start_node,rep,strategy,reward,oracle_reward,gap_oracle_pct,rhlr_reward,adv_vs_rhlr_pct,mc_reward,valid,rollout_time
11,2,real_beam20,4672.0,5843.0,20.041074790347423,5558.0,-15.940985966174884,5071.0,True,0.391049861907959
12,0,real_beam1,5499.0,6230.0,11.73354735152488,5645.0,-2.586359610274579,5569.0,True,0.03848886489868164
12,0,real_beam10,5449.0,6230.0,12.536115569823437,5645.0,-3.4720992028343667,5569.0,True,0.21288251876831055
12,0,real_beam20,5449.0,6230.0,12.536115569823437,5645.0,-3.4720992028343667,5569.0,True,0.4185364246368408
12,1,real_beam1,4459.0,5918.0,24.653599188915173,4017.0,11.003236245954692,5210.0,True,0.03926825523376465
12,1,real_beam10,4053.0,5918.0,31.514025008448797,4017.0,0.8961911874533234,5210.0,True,0.1887969970703125
12,1,real_beam20,4881.0,5918.0,17.522811760729976,4017.0,21.50858849887976,5210.0,True,0.39700841903686523
12,2,real_beam1,4945.0,5763.0,14.193996182543813,4176.0,18.414750957854405,5051.0,True,0.03863883018493652
12,2,real_beam10,4454.0,5763.0,22.71386430678466,4176.0,6.657088122605365,5051.0,True,0.19120025634765625
12,2,real_beam20,4454.0,5763.0,22.71386430678466,4176.0,6.657088122605365,5051.0,True,0.3702828884124756
13,0,real_beam1,3708.0,5826.0,36.35427394438723,4427.0,-16.241246894059184,4721.0,True,0.038547515869140625
13,0,real_beam10,4558.0,5826.0,21.764503947820117,4427.0,2.959114524508697,4721.0,True,0.1704239845275879
13,0,real_beam20,4963.0,5826.0,14.81290765533814,4427.0,12.10752202394398,4721.0,True,0.3270382881164551
13,1,real_beam1,4633.0,5724.0,19.06009783368274,3878.0,19.468798349664777,5232.0,True,0.027144432067871094
13,1,real_beam10,4514.0,5724.0,21.13906359189378,3878.0,16.400206291903043,5232.0,True,0.17546844482421875
13,1,real_beam20,4514.0,5724.0,21.13906359189378,3878.0,16.400206291903043,5232.0,True,0.3314642906188965
13,2,real_beam1,4895.0,5518.0,11.29032258064516,5198.0,-5.829165063485956,4639.0,True,0.032868385314941406
13,2,real_beam10,4663.0,5518.0,15.494744472635013,5198.0,-10.292420161600615,4639.0,True,0.19635486602783203
13,2,real_beam20,4718.0,5518.0,14.498006524102935,5198.0,-9.23432089265102,4639.0,True,0.38035035133361816
14,0,real_beam1,3539.0,4347.0,18.58753163100989,4347.0,-18.58753163100989,3757.0,True,0.015565633773803711
14,0,real_beam10,4132.0,4347.0,4.945939728548424,4347.0,-4.945939728548424,3757.0,True,0.1036529541015625
14,0,real_beam20,4132.0,4347.0,4.945939728548424,4347.0,-4.945939728548424,3757.0,True,0.13919305801391602
14,1,real_beam1,3140.0,3324.0,5.535499398315283,3324.0,-5.535499398315283,3324.0,True,0.015756845474243164
14,1,real_beam10,3140.0,3324.0,5.535499398315283,3324.0,-5.535499398315283,3324.0,True,0.09825587272644043
14,1,real_beam20,3324.0,3324.0,0.0,3324.0,0.0,3324.0,True,0.142777681350708
14,2,real_beam1,5642.0,5642.0,0.0,5642.0,0.0,5642.0,True,0.015592575073242188
14,2,real_beam10,5642.0,5642.0,0.0,5642.0,0.0,5642.0,True,0.09239768981933594
14,2,real_beam20,5642.0,5642.0,0.0,5642.0,0.0,5642.0,True,0.1526014804840088
15,0,real_beam1,4373.0,5266.0,16.95784276490695,4788.0,-8.66750208855472,5266.0,True,0.032652854919433594
15,0,real_beam10,4567.0,5266.0,13.27383213064945,4788.0,-4.6157059314954045,5266.0,True,0.17257094383239746
15,0,real_beam20,4567.0,5266.0,13.27383213064945,4788.0,-4.6157059314954045,5266.0,True,0.31928181648254395
15,1,real_beam1,2987.0,5112.0,41.56885758998435,4542.0,-34.23601937472479,4259.0,True,0.027784347534179688
15,1,real_beam10,4327.0,5112.0,15.35602503912363,4542.0,-4.733597534125936,4259.0,True,0.17902183532714844
15,1,real_beam20,4533.0,5112.0,11.326291079812206,4542.0,-0.19815059445178335,4259.0,True,0.3996012210845947
15,2,real_beam1,4650.0,5164.0,9.953524399690163,4652.0,-0.04299226139294927,5008.0,True,0.032756805419921875
15,2,real_beam10,4481.0,5164.0,13.226181254841208,4652.0,-3.6758383490971624,5008.0,True,0.17346858978271484
15,2,real_beam20,4716.0,5164.0,8.675445391169635,4652.0,1.3757523645743766,5008.0,True,0.32027602195739746
16,0,real_beam1,4777.0,5842.0,18.23005819924683,4680.0,2.0726495726495724,5457.0,True,0.032462120056152344
16,0,real_beam10,4434.0,5842.0,24.101335159192057,4680.0,-5.256410256410256,5457.0,True,0.16843605041503906
16,0,real_beam20,4999.0,5842.0,14.429989729544676,4680.0,6.816239316239316,5457.0,True,0.33817481994628906
16,1,real_beam1,4500.0,5588.0,19.470293486041516,5288.0,-14.901664145234495,5530.0,True,0.03861856460571289
16,1,real_beam10,4692.0,5588.0,16.034359341445956,5288.0,-11.270801815431165,5530.0,True,0.17628240585327148
16,1,real_beam20,4692.0,5588.0,16.034359341445956,5288.0,-11.270801815431165,5530.0,True,0.3305189609527588
16,2,real_beam1,5366.0,6089.0,11.873870914764328,6089.0,-11.873870914764328,6089.0,True,0.04049110412597656
16,2,real_beam10,4470.0,6089.0,26.58893085892593,6089.0,-26.58893085892593,6089.0,True,0.17496943473815918
16,2,real_beam20,5840.0,6089.0,4.089341435375267,6089.0,-4.089341435375267,6089.0,True,0.39946866035461426
17,0,real_beam1,3852.0,5672.0,32.08744710860367,4986.0,-22.743682310469314,5489.0,True,0.03346419334411621
17,0,real_beam10,4741.0,5672.0,16.413963328631876,4986.0,-4.913758523866827,5489.0,True,0.17890477180480957
17,0,real_beam20,4763.0,5672.0,16.026093088857547,4986.0,-4.472523064580827,5489.0,True,0.3327772617340088
17,1,real_beam1,4765.0,6468.0,26.329622758194187,4482.0,6.314145470771977,6394.0,True,0.032630205154418945
17,1,real_beam10,6222.0,6468.0,3.803339517625232,4482.0,38.82195448460509,6394.0,True,0.257002592086792
17,1,real_beam20,6222.0,6468.0,3.803339517625232,4482.0,38.82195448460509,6394.0,True,0.48261022567749023
17,2,real_beam1,4794.0,5512.0,13.02612481857765,3948.0,21.428571428571427,5222.0,True,0.03825879096984863
17,2,real_beam10,4464.0,5512.0,19.013062409288825,3948.0,13.069908814589665,5222.0,True,0.16585969924926758
17,2,real_beam20,4960.0,5512.0,10.014513788098693,3948.0,25.633232016210737,5222.0,True,0.4132990837097168
18,0,real_beam1,2767.0,5233.0,47.124020638257214,4162.0,-33.51753964440173,4162.0,True,0.01752448081970215
18,0,real_beam10,4162.0,5233.0,20.466271737053315,4162.0,0.0,4162.0,True,0.1515028476715088
18,0,real_beam20,4162.0,5233.0,20.466271737053315,4162.0,0.0,4162.0,True,0.26967668533325195
18,1,real_beam1,1984.0,4956.0,59.96771589991929,4703.0,-57.8141611737189,4104.0,True,0.0157163143157959
18,1,real_beam10,3888.0,4956.0,21.54963680387409,4703.0,-17.3293642355943,4104.0,True,0.1590118408203125
18,1,real_beam20,3932.0,4956.0,20.66182405165456,4703.0,-16.39379119710823,4104.0,True,0.28613948822021484
18,2,real_beam1,5189.0,5303.0,2.149726569866113,5189.0,0.0,5189.0,True,0.033019065856933594
18,2,real_beam10,5303.0,5303.0,0.0,5189.0,2.1969550973212564,5189.0,True,0.16634821891784668
18,2,real_beam20,5303.0,5303.0,0.0,5189.0,2.1969550973212564,5189.0,True,0.31621241569519043
19,0,real_beam1,1854.0,3182.0,41.734758013827786,3182.0,-41.734758013827786,3182.0,True,0.015572547912597656
19,0,real_beam10,3182.0,3182.0,0.0,3182.0,0.0,3182.0,True,0.1072995662689209
19,0,real_beam20,3182.0,3182.0,0.0,3182.0,0.0,3182.0,True,0.18090152740478516
19,1,real_beam1,2777.0,2777.0,0.0,2279.0,21.8516893374287,2279.0,True,0.016930580139160156
19,1,real_beam10,2777.0,2777.0,0.0,2279.0,21.8516893374287,2279.0,True,0.0924677848815918
19,1,real_beam20,2777.0,2777.0,0.0,2279.0,21.8516893374287,2279.0,True,0.16683149337768555
19,2,real_beam1,3146.0,3146.0,0.0,3146.0,0.0,3146.0,True,0.015873432159423828
19,2,real_beam10,3146.0,3146.0,0.0,3146.0,0.0,3146.0,True,0.0841836929321289
19,2,real_beam20,3146.0,3146.0,0.0,3146.0,0.0,3146.0,True,0.15269780158996582
20,0,real_beam1,1547.0,5335.0,71.00281162136832,5335.0,-71.00281162136832,5335.0,True,0.015915632247924805
20,0,real_beam10,5335.0,5335.0,0.0,5335.0,0.0,5335.0,True,0.13904595375061035
20,0,real_beam20,5335.0,5335.0,0.0,5335.0,0.0,5335.0,True,0.24009323120117188
20,1,real_beam1,-1082.0,977.0,210.7471852610031,977.0,-210.7471852610031,977.0,True,0.021282434463500977
20,1,real_beam10,977.0,977.0,0.0,977.0,0.0,977.0,True,0.1618022918701172
20,1,real_beam20,977.0,977.0,0.0,977.0,0.0,977.0,True,0.23196172714233398
20,2,real_beam1,2620.0,3651.0,28.2388386743358,3651.0,-28.2388386743358,2620.0,True,0.0211794376373291
20,2,real_beam10,3651.0,3651.0,0.0,3651.0,0.0,2620.0,True,0.14587926864624023
20,2,real_beam20,3651.0,3651.0,0.0,3651.0,0.0,2620.0,True,0.24094271659851074
21,0,real_beam1,2932.0,2932.0,0.0,1336.0,119.46107784431138,1336.0,True,0.016962051391601562
21,0,real_beam10,2932.0,2932.0,0.0,1336.0,119.46107784431138,1336.0,True,0.11562228202819824
21,0,real_beam20,2932.0,2932.0,0.0,1336.0,119.46107784431138,1336.0,True,0.166748046875
21,1,real_beam1,720.0,720.0,0.0,-253.0,-384.5849802371541,-1244.0,True,0.012734413146972656
21,1,real_beam10,720.0,720.0,0.0,-253.0,-384.5849802371541,-1244.0,True,0.11203432083129883
21,1,real_beam20,720.0,720.0,0.0,-253.0,-384.5849802371541,-1244.0,True,0.13550686836242676
21,2,real_beam1,252.0,555.0,54.59459459459459,-703.0,-135.84637268847794,-671.0,True,0.011266469955444336
21,2,real_beam10,555.0,555.0,0.0,-703.0,-178.94736842105263,-671.0,True,0.12698578834533691
21,2,real_beam20,555.0,555.0,0.0,-703.0,-178.94736842105263,-671.0,True,0.18250751495361328
22,0,real_beam1,3093.0,3132.0,1.2452107279693485,3093.0,0.0,3093.0,True,0.01566791534423828
22,0,real_beam10,3132.0,3132.0,0.0,3093.0,1.2609117361784674,3093.0,True,0.1737513542175293
22,0,real_beam20,3132.0,3132.0,0.0,3093.0,1.2609117361784674,3093.0,True,0.3347432613372803
22,1,real_beam1,2901.0,3287.0,11.743230909644051,3287.0,-11.743230909644051,3287.0,True,0.01563239097595215
22,1,real_beam10,3287.0,3287.0,0.0,3287.0,0.0,3287.0,True,0.11553525924682617
22,1,real_beam20,3287.0,3287.0,0.0,3287.0,0.0,3287.0,True,0.25762128829956055
22,2,real_beam1,5529.0,5529.0,0.0,5529.0,0.0,1522.0,True,0.021148681640625
22,2,real_beam10,5529.0,5529.0,0.0,5529.0,0.0,1522.0,True,0.1571657657623291
22,2,real_beam20,5529.0,5529.0,0.0,5529.0,0.0,1522.0,True,0.27886080741882324
23,0,real_beam1,4044.0,5794.0,30.203658957542284,5127.0,-21.1234640140433,4478.0,True,0.03270316123962402
23,0,real_beam10,4915.0,5794.0,15.17086641353124,5127.0,-4.134971718353813,4478.0,True,0.19915533065795898
23,0,real_beam20,4915.0,5794.0,15.17086641353124,5127.0,-4.134971718353813,4478.0,True,0.378159761428833
23,1,real_beam1,3932.0,6289.0,37.478136428685005,5826.0,-32.509440439409545,5048.0,True,0.028927087783813477
23,1,real_beam10,5723.0,6289.0,8.999840992208618,5826.0,-1.7679368348781324,5048.0,True,0.23064017295837402
23,1,real_beam20,5839.0,6289.0,7.155350612179996,5826.0,0.22313765877102643,5048.0,True,0.419018030166626
23,2,real_beam1,3444.0,5772.0,40.33264033264034,4976.0,-30.787781350482312,5068.0,True,0.027747392654418945
23,2,real_beam10,4445.0,5772.0,22.99029799029799,4976.0,-10.671221864951768,5068.0,True,0.17038393020629883
23,2,real_beam20,4445.0,5772.0,22.99029799029799,4976.0,-10.671221864951768,5068.0,True,0.30284595489501953
24,0,real_beam1,3902.0,5097.0,23.445163821855992,4712.0,-17.190152801358234,4936.0,True,0.03263235092163086
24,0,real_beam10,4936.0,5097.0,3.1587208161663725,4712.0,4.753820033955857,4936.0,True,0.16365814208984375
24,0,real_beam20,4936.0,5097.0,3.1587208161663725,4712.0,4.753820033955857,4936.0,True,0.26694607734680176
24,1,real_beam1,5203.0,5203.0,0.0,4642.0,12.085308056872037,3451.0,True,0.03226900100708008
24,1,real_beam10,4621.0,5203.0,11.185854314818373,4642.0,-0.4523912106850495,3451.0,True,0.1903824806213379
24,1,real_beam20,4621.0,5203.0,11.185854314818373,4642.0,-0.4523912106850495,3451.0,True,0.3315880298614502
24,2,real_beam1,4400.0,5406.0,18.608953015168332,5406.0,-18.608953015168332,5193.0,True,0.03575563430786133
24,2,real_beam10,5406.0,5406.0,0.0,5406.0,0.0,5193.0,True,0.16327190399169922
24,2,real_beam20,5406.0,5406.0,0.0,5406.0,0.0,5193.0,True,0.28469228744506836
25,0,real_beam1,1484.0,1484.0,0.0,1484.0,0.0,1484.0,True,0.01560664176940918
25,0,real_beam10,1484.0,1484.0,0.0,1484.0,0.0,1484.0,True,0.06517457962036133
25,0,real_beam20,1484.0,1484.0,0.0,1484.0,0.0,1484.0,True,0.07448935508728027
25,1,real_beam1,1900.0,1900.0,0.0,1900.0,0.0,1900.0,True,0.016451597213745117
25,1,real_beam10,1900.0,1900.0,0.0,1900.0,0.0,1900.0,True,0.06264233589172363
25,1,real_beam20,1900.0,1900.0,0.0,1900.0,0.0,1900.0,True,0.06250548362731934
25,2,real_beam1,1687.0,1687.0,0.0,1687.0,0.0,1687.0,True,0.01562666893005371
25,2,real_beam10,1687.0,1687.0,0.0,1687.0,0.0,1687.0,True,0.05667304992675781
25,2,real_beam20,1687.0,1687.0,0.0,1687.0,0.0,1687.0,True,0.0594174861907959
26,0,real_beam1,436.0,4791.0,90.89960342308495,4394.0,-90.07737824305872,4791.0,True,0.03253960609436035
26,0,real_beam10,4131.0,4791.0,13.775829680651222,4394.0,-5.985434683659536,4791.0,True,0.15233802795410156
26,0,real_beam20,4567.0,4791.0,4.6754331037361725,4394.0,3.9371870732817476,4791.0,True,0.24274396896362305
26,1,real_beam1,3918.0,4931.0,20.54350030419793,4931.0,-20.54350030419793,4225.0,True,0.026976823806762695
26,1,real_beam10,4094.0,4931.0,16.97424457513689,4931.0,-16.97424457513689,4225.0,True,0.1347503662109375
26,1,real_beam20,4454.0,4931.0,9.673494220239302,4931.0,-9.673494220239302,4225.0,True,0.24274349212646484
26,2,real_beam1,281.0,4635.0,93.93743257820928,4418.0,-93.63965595291988,4145.0,True,0.03270292282104492
26,2,real_beam10,4029.0,4635.0,13.074433656957929,4418.0,-8.80488909008601,4145.0,True,0.12943005561828613
26,2,real_beam20,4418.0,4635.0,4.681769147788565,4418.0,0.0,4145.0,True,0.19255328178405762
27,0,real_beam1,4092.0,5106.0,19.858989424206815,4902.0,-16.523867809057528,4738.0,True,0.027486324310302734
27,0,real_beam10,5106.0,5106.0,0.0,4902.0,4.16156670746634,4738.0,True,0.15035676956176758
27,0,real_beam20,4885.0,5106.0,4.328241284763024,4902.0,-0.346797225622195,4738.0,True,0.24451041221618652
27,1,real_beam1,4258.0,4852.0,12.24237427864798,4852.0,-12.24237427864798,4852.0,True,0.03250288963317871
27,1,real_beam10,3735.0,4852.0,23.021434460016486,4852.0,-23.021434460016486,4852.0,True,0.11513614654541016
27,1,real_beam20,4270.0,4852.0,11.995053586150041,4852.0,-11.995053586150041,4852.0,True,0.22211718559265137
27,2,real_beam1,4151.0,4987.0,16.76358532183678,4987.0,-16.76358532183678,4444.0,True,0.026971817016601562
