origin,166,85,107,130,60,159,20,146,58,63,12,19,25,35,43,48,76,82,108,122,123,124,137,143,147,158,163,165,175,191,71,118,106,127,28,186,2,142,188,125,112,145,47,78,8,129,157,41,24,93,170,86,169,21,88,105,185,104,193,179,68,22,180,49,176,87,116,84,131,103,72,187,178,70,6,77,128,119,160,154,69,174,4,44,26,90,94,117,51,114,109,150,65,75,120,62,10
63,56.33,35.31,32.35,53.89,42.78,41.98,57.98,73.05,43.31,0.0,49.49,50.43,28.86,41.11,28.96,57.85,38.07,29.49,27.18,15.69,22.1,13.31,9.31,41.63,58.16,38.71,64.77,61.29,59.75,44.38,54.7,25.99,42.74,52.6,26.83,42.42,48.94,44.32,38.98,53.15,50.88,69.08,58.96,23.19,43.51,56.36,47.42,32.17,55.13,17.28,54.28,32.51,57.34,52.09,37.31,39.06,35.31,39.26,34.99,55.2,39.65,53.32,55.45,54.14,53.97,33.56,24.11,37.74,52.78,42.59,37.9,42.97,58.28,42.49,47.3,35.41,55.85,18.11,48.95,45.86,39.68,58.13,45.24,54.8,30.45,17.43,12.37,23.41,21.7,20.26,27.94,59.64,10.85,38.54,28.6,3.4,46.49
12,85.63,61.54,36.26,32.31,16.95,50.25,68.91,81.51,45.2,49.5,0.0,62.75,61.95,53.01,31.23,78.24,70.71,51.89,33.12,34.53,36.51,46.08,41.28,57.33,66.99,53.1,95.48,92.0,74.55,30.94,82.81,64.12,71.76,19.39,57.98,41.9,60.26,60.04,38.46,23.06,78.75,77.54,80.32,45.98,9.52,26.23,58.59,26.61,64.91,63.56,86.3,62.27,89.32,65.24,64.9,70.38,36.66,65.45,32.01,71.61,64.97,63.58,73.05,79.71,68.86,66.21,61.36,63.4,18.06,68.8,70.55,37.62,76.33,65.15,58.93,68.06,29.22,31.34,54.47,51.94,58.87,72.07,56.09,76.36,56.05,61.1,57.41,66.47,42.98,61.94,37.04,60.13,56.64,74.91,22.61,51.36,6.17
19,27.47,19.01,28.31,88.18,70.95,89.57,8.1,23.18,17.63,50.69,62.63,0.0,26.69,10.57,67.61,17.34,31.57,21.88,29.97,51.84,62.29,62.86,44.58,8.94,10.07,88.3,42.33,38.69,12.07,35.5,24.64,29.15,24.77,77.9,26.16,25.21,5.26,7.06,25.47,78.44,23.68,19.21,19.87,27.88,63.75,81.65,97.01,70.59,6.91,47.22,29.53,22.24,31.36,2.76,21.05,21.76,27.04,18.01,29.79,9.13,15.59,3.44,11.55,21.6,6.38,24.61,30.87,16.71,77.77,20.06,24.97,28.48,14.33,13.13,4.44,28.38,85.09,50.23,94.35,91.25,12.67,9.59,7.77,18.48,23.79,41.31,42.17,35.6,30.68,35.33,27.46,10.01,45.64,34.35,60.05,49.31,59.64
25,28.32,7.67,32.9,73.89,61.56,70.35,34.31,49.38,29.31,28.86,61.88,26.76,0.0,22.39,48.96,29.89,10.06,12.29,30.21,33.19,43.64,41.28,25.93,18.05,36.28,67.09,36.76,33.28,32.32,43.31,26.7,4.42,14.73,71.38,5.21,35.71,27.58,20.6,33.17,71.93,22.87,45.41,30.64,17.41,59.67,75.14,75.8,52.17,33.12,21.36,26.27,4.51,29.33,27.96,9.35,11.06,32.92,11.58,36.36,27.77,12.22,29.65,28.02,26.13,26.53,5.56,5.01,10.31,71.56,14.58,9.89,38.6,30.84,15.06,25.94,7.41,75.85,34.73,77.33,74.24,14.39,30.7,23.57,26.84,7.22,15.44,17.19,9.73,19.37,9.46,25.37,34.12,22.3,14.26,45.22,26.13,58.88
35,35.36,18.37,18.11,77.7,60.47,79.98,18.44,31.16,10.26,41.1,53.08,10.56,22.42,0.0,58.02,27.96,29.22,14.33,19.96,42.26,52.7,53.27,35.0,8.8,17.6,78.72,50.23,45.2,22.37,28.65,32.53,26.04,26.38,67.42,20.6,18.58,8.38,10.33,18.52,67.97,30.74,27.19,30.05,19.71,53.27,71.18,87.43,60.07,14.57,39.76,36.03,20.46,39.05,13.05,20.4,24.15,18.12,20.4,21.57,19.42,16.96,13.18,21.89,29.43,16.67,23.97,25.79,16.27,67.29,23.01,28.14,21.86,25.17,17.14,6.74,26.56,74.62,42.16,84.76,81.67,10.49,19.88,3.64,26.08,18.02,34.04,34.05,30.51,20.88,30.24,17.44,15.94,36.06,33.71,49.58,39.73,50.08
43,76.69,54.69,46.49,26.71,16.44,22.14,74.89,89.96,57.25,28.95,31.2,67.34,49.0,58.03,0.0,77.23,58.43,46.41,42.21,15.87,7.91,20.06,23.25,58.54,75.08,24.98,85.12,81.65,77.86,48.94,75.06,51.18,63.1,26.26,46.83,53.85,65.85,61.23,50.41,26.8,71.31,85.99,78.34,40.1,22.56,30.01,30.47,5.83,72.04,43.2,74.63,52.87,77.69,69.0,56.69,59.42,47.27,58.64,45.03,73.3,59.03,70.23,73.07,74.57,72.07,53.92,48.42,57.12,26.44,61.99,58.26,53.55,75.9,60.11,64.22,55.77,28.67,18.68,26.91,23.82,56.6,76.23,62.16,74.17,47.83,44.83,39.77,50.81,38.24,48.29,42.97,73.88,38.24,62.62,15.07,30.79,31.43
48,10.99,22.16,43.38,102.11,85.74,99.32,16.78,30.78,34.73,57.87,78.35,17.36,29.8,27.77,77.17,0.0,31.34,31.96,45.23,61.4,71.85,70.09,54.14,20.88,23.94,96.06,26.51,20.0,7.56,52.6,8.17,32.25,17.33,92.7,31.28,42.31,21.8,19.29,43.65,93.24,9.62,28.37,2.72,37.95,78.54,96.45,104.77,78.22,21.79,50.32,13.73,25.35,14.89,14.84,21.54,20.81,43.4,18.12,46.84,8.42,21.01,19.57,6.21,6.23,11.89,24.15,33.97,23.45,92.56,16.25,24.17,45.59,3.72,17.7,21.54,27.51,99.89,60.3,103.91,100.82,24.47,11.61,25.21,4.64,31.0,44.41,46.16,38.7,40.76,38.43,42.71,26.45,52.84,32.21,69.69,56.67,75.35
76,27.93,12.75,40.68,83.36,71.03,77.33,39.16,54.23,37.08,38.14,70.72,31.61,10.11,29.26,58.42,31.53,0.0,20.63,39.05,42.66,53.1,50.56,35.39,22.9,41.13,74.06,36.37,32.89,33.43,51.08,26.3,12.48,14.34,80.85,13.41,43.48,32.42,25.44,40.95,81.39,22.48,50.26,30.25,25.86,68.51,84.6,82.77,61.64,37.97,28.09,25.88,9.82,28.94,32.8,11.0,10.55,40.69,12.91,44.14,29.86,17.07,34.5,28.32,25.74,31.38,8.38,14.29,15.45,81.03,15.28,7.21,46.37,31.15,19.7,30.78,3.31,85.31,44.19,84.3,81.21,21.4,35.54,28.96,27.51,15.2,24.73,26.47,17.83,28.21,18.74,33.71,38.97,31.58,4.33,54.68,35.41,67.72
82,33.39,10.55,20.03,71.33,56.2,68.35,29.16,44.23,19.76,29.47,51.88,21.61,11.66,14.3,46.39,31.99,20.59,0.0,19.93,30.63,41.07,41.64,23.37,12.81,30.5,67.09,44.48,41.01,32.12,33.76,31.23,14.95,20.77,63.83,9.02,26.16,21.27,15.5,23.63,64.37,27.13,40.26,33.1,6.66,49.67,67.58,75.8,46.93,27.46,26.54,33.35,12.15,36.41,23.27,12.78,17.93,23.37,14.46,25.36,27.57,13.14,24.49,27.34,30.86,26.33,16.09,14.69,10.96,63.69,17.81,20.42,29.05,30.16,14.38,19.63,17.94,71.02,29.01,73.13,70.04,10.86,30.5,16.11,28.94,6.45,20.83,20.83,19.42,9.47,19.15,13.79,27.82,24.43,24.79,38.4,28.1,48.89
108,52.57,29.77,5.34,57.78,40.55,64.13,37.83,50.55,17.39,27.14,33.16,29.95,30.2,19.94,42.17,45.17,38.97,19.75,0.0,27.14,36.85,38.07,19.8,24.27,36.99,65.28,63.71,62.41,41.76,17.49,49.74,32.37,41.33,47.51,26.23,15.28,27.77,26.98,11.84,48.05,45.69,46.58,47.26,14.24,33.35,51.26,73.99,40.19,33.96,33.28,53.24,30.53,56.26,32.44,32.01,37.15,8.3,33.69,7.76,38.66,31.91,32.57,39.98,46.64,36.06,34.46,29.62,30.33,47.37,37.96,38.8,15.96,43.27,32.08,26.13,36.31,54.7,23.62,68.91,65.82,25.81,39.28,23.03,43.29,24.3,29.36,25.56,34.72,11.23,30.2,3.96,34.02,26.35,43.17,29.66,27.68,30.16
122,60.91,38.91,31.45,40.78,29.68,37.81,59.11,74.19,42.2,15.5,34.65,51.56,33.23,42.25,15.85,61.45,42.65,30.63,27.17,0.0,10.53,11.7,7.47,42.77,59.3,38.91,69.35,65.87,62.08,37.13,59.28,35.4,47.32,39.5,31.05,38.8,50.08,45.45,35.37,40.04,55.53,70.21,62.56,24.32,29.18,43.25,47.62,19.07,56.26,32.35,58.86,37.09,61.91,53.23,40.91,43.64,32.23,42.86,29.99,57.52,43.25,54.45,57.3,58.8,56.29,38.14,32.64,41.34,39.68,46.21,42.48,39.76,60.12,44.33,48.44,39.99,42.74,3.78,42.59,39.5,40.82,60.45,46.38,58.4,32.06,31.58,26.53,36.3,22.46,33.22,27.93,58.83,25.92,46.85,14.27,18.46,31.65
123,71.36,49.37,41.17,32.82,21.71,29.36,69.57,84.64,51.92,22.06,36.47,62.02,43.68,52.7,7.88,71.91,53.1,41.08,36.89,10.54,0.0,13.17,17.92,53.22,69.76,29.38,79.8,76.32,72.53,46.85,69.74,44.3,57.77,31.53,41.51,48.53,60.53,55.91,45.09,32.07,65.99,80.67,73.01,34.78,27.83,35.28,38.09,11.1,66.72,37.24,69.31,47.55,72.37,63.68,51.36,54.1,41.95,53.32,39.71,67.98,53.71,64.91,67.75,69.25,66.75,48.6,42.1,51.79,31.71,56.66,52.93,49.48,70.58,54.79,58.9,50.45,34.78,13.36,34.14,31.05,51.27,70.91,56.83,68.85,42.51,37.94,32.88,43.92,32.92,41.39,37.65,68.55,31.35,57.3,16.0,23.9,36.7
124,68.72,48.07,43.08,45.65,33.84,30.57,70.14,85.21,53.83,13.31,46.03,62.59,41.26,53.28,20.01,70.29,50.46,41.65,38.14,11.7,13.16,0.0,18.49,53.79,70.33,27.3,77.16,73.68,71.97,48.76,67.1,38.38,55.13,43.66,39.04,50.43,61.1,56.48,47.0,44.2,63.27,81.24,71.04,35.35,39.95,47.41,36.01,23.23,67.29,26.94,66.67,44.91,69.73,64.25,49.75,51.46,43.85,51.98,41.62,67.41,51.87,65.48,67.67,66.53,66.18,45.96,36.5,49.95,43.84,54.98,50.29,51.39,70.49,54.7,59.47,47.81,47.6,15.41,37.54,34.45,51.85,70.35,57.4,67.24,43.08,29.2,24.13,35.18,33.49,32.65,38.9,71.81,22.61,50.3,22.24,15.16,43.04
137,53.65,31.66,25.03,48.16,35.83,45.18,51.86,66.93,37.2,9.34,41.27,44.31,25.97,34.99,23.22,54.19,35.39,23.37,19.86,7.45,17.9,18.47,0.0,35.51,52.04,45.68,62.09,58.61,54.82,36.17,52.02,28.14,40.06,45.65,23.79,35.1,42.82,38.2,31.66,46.19,48.28,62.96,55.3,17.07,34.4,49.4,54.39,26.44,49.01,25.09,51.6,29.83,54.66,45.97,33.65,36.38,27.99,35.61,29.02,50.27,36.0,47.2,50.04,51.54,49.03,30.89,25.38,34.08,45.83,38.95,35.22,36.64,52.86,37.08,41.18,32.74,50.11,8.99,49.96,46.87,33.56,53.2,39.12,51.14,24.8,24.33,19.28,29.04,15.21,25.97,20.61,53.52,18.66,39.59,19.48,11.21,38.27
