start_node,rep,day_idx,variant,reward,valid,delta_vs_baseline
13,1,11,vc=0.25,4454.0,True,0.0
13,1,11,vc=0.5,4454.0,True,0.0
13,1,11,vc=1.0,5237.0,True,783.0
13,2,9,baseline,4663.0,True,0.0
13,2,9,vc=0.25,4663.0,True,0.0
13,2,9,vc=0.5,4663.0,True,0.0
13,2,9,vc=1.0,4639.0,True,-24.0
14,0,13,baseline,3539.0,True,0.0
14,0,13,vc=0.25,3539.0,True,0.0
14,0,13,vc=0.5,3539.0,True,0.0
14,0,13,vc=1.0,3814.0,True,275.0
14,1,5,baseline,3140.0,True,0.0
14,1,5,vc=0.25,3140.0,True,0.0
14,1,5,vc=0.5,3324.0,True,184.0
14,1,5,vc=1.0,3324.0,True,184.0
14,2,22,baseline,5642.0,True,0.0
14,2,22,vc=0.25,5642.0,True,0.0
14,2,22,vc=0.5,5642.0,True,0.0
14,2,22,vc=1.0,5642.0,True,0.0
15,0,13,baseline,3829.0,True,0.0
15,0,13,vc=0.25,5266.0,True,1437.0
15,0,13,vc=0.5,5266.0,True,1437.0
15,0,13,vc=1.0,5266.0,True,1437.0
15,1,6,baseline,3752.0,True,0.0
15,1,6,vc=0.25,3752.0,True,0.0
15,1,6,vc=0.5,4592.0,True,840.0
15,1,6,vc=1.0,4975.0,True,1223.0
15,2,9,baseline,4139.0,True,0.0
15,2,9,vc=0.25,4332.0,True,193.0
15,2,9,vc=0.5,4332.0,True,193.0
15,2,9,vc=1.0,4139.0,True,0.0
16,0,26,baseline,4863.0,True,0.0
16,0,26,vc=0.25,4863.0,True,0.0
16,0,26,vc=0.5,5102.0,True,239.0
16,0,26,vc=1.0,5387.0,True,524.0
16,1,12,baseline,4684.0,True,0.0
16,1,12,vc=0.25,4684.0,True,0.0
16,1,12,vc=0.5,5041.0,True,357.0
16,1,12,vc=1.0,5054.0,True,370.0
16,2,4,baseline,4762.0,True,0.0
16,2,4,vc=0.25,4762.0,True,0.0
16,2,4,vc=0.5,5353.0,True,591.0
16,2,4,vc=1.0,5393.0,True,631.0
17,0,19,baseline,4830.0,True,0.0
17,0,19,vc=0.25,4830.0,True,0.0
17,0,19,vc=0.5,4830.0,True,0.0
17,0,19,vc=1.0,5421.0,True,591.0
17,1,2,baseline,5351.0,True,0.0
17,1,2,vc=0.25,5351.0,True,0.0
17,1,2,vc=0.5,5351.0,True,0.0
17,1,2,vc=1.0,5351.0,True,0.0
17,2,9,baseline,4464.0,True,0.0
17,2,9,vc=0.25,4464.0,True,0.0
17,2,9,vc=0.5,4318.0,True,-146.0
17,2,9,vc=1.0,5195.0,True,731.0
18,0,12,baseline,5155.0,True,0.0
18,0,12,vc=0.25,5155.0,True,0.0
18,0,12,vc=0.5,5155.0,True,0.0
18,0,12,vc=1.0,5155.0,True,0.0
18,1,25,baseline,3888.0,True,0.0
18,1,25,vc=0.25,3591.0,True,-297.0
18,1,25,vc=0.5,3591.0,True,-297.0
18,1,25,vc=1.0,4385.0,True,497.0
18,2,23,baseline,5303.0,True,0.0
18,2,23,vc=0.25,5303.0,True,0.0
18,2,23,vc=0.5,5303.0,True,0.0
18,2,23,vc=1.0,5303.0,True,0.0
19,0,20,baseline,3182.0,True,0.0
19,0,20,vc=0.25,3182.0,True,0.0
19,0,20,vc=0.5,3182.0,True,0.0
19,0,20,vc=1.0,3182.0,True,0.0
19,1,8,baseline,2777.0,True,0.0
19,1,8,vc=0.25,2777.0,True,0.0
19,1,8,vc=0.5,2777.0,True,0.0
19,1,8,vc=1.0,2777.0,True,0.0
19,2,6,baseline,3146.0,True,0.0
19,2,6,vc=0.25,3146.0,True,0.0
19,2,6,vc=0.5,3146.0,True,0.0
19,2,6,vc=1.0,3146.0,True,0.0
20,0,24,baseline,5335.0,True,0.0
20,0,24,vc=0.25,5335.0,True,0.0
20,0,24,vc=0.5,5335.0,True,0.0
20,0,24,vc=1.0,5335.0,True,0.0
20,1,5,baseline,977.0,True,0.0
20,1,5,vc=0.25,977.0,True,0.0
20,1,5,vc=0.5,977.0,True,0.0
20,1,5,vc=1.0,977.0,True,0.0
20,2,23,baseline,3651.0,True,0.0
20,2,23,vc=0.25,3651.0,True,0.0
20,2,23,vc=0.5,3651.0,True,0.0
20,2,23,vc=1.0,3651.0,True,0.0
21,0,22,baseline,2932.0,True,0.0
21,0,22,vc=0.25,2932.0,True,0.0
21,0,22,vc=0.5,2932.0,True,0.0
21,0,22,vc=1.0,2932.0,True,0.0
21,1,19,baseline,720.0,True,0.0
21,1,19,vc=0.25,720.0,True,0.0
21,1,19,vc=0.5,720.0,True,0.0
21,1,19,vc=1.0,720.0,True,0.0
21,2,28,baseline,555.0,True,0.0
21,2,28,vc=0.25,555.0,True,0.0
21,2,28,vc=0.5,555.0,True,0.0
21,2,28,vc=1.0,555.0,True,0.0
22,0,7,baseline,3093.0,True,0.0
22,0,7,vc=0.25,3093.0,True,0.0
22,0,7,vc=0.5,3093.0,True,0.0
22,0,7,vc=1.0,3093.0,True,0.0
22,1,16,baseline,3287.0,True,0.0
22,1,16,vc=0.25,3287.0,True,0.0
22,1,16,vc=0.5,3287.0,True,0.0
22,1,16,vc=1.0,3287.0,True,0.0
22,2,22,baseline,5529.0,True,0.0
22,2,22,vc=0.25,5529.0,True,0.0
22,2,22,vc=0.5,5529.0,True,0.0
22,2,22,vc=1.0,5529.0,True,0.0
23,0,1,baseline,4915.0,True,0.0
23,0,1,vc=0.25,4915.0,True,0.0
23,0,1,vc=0.5,4915.0,True,0.0
23,0,1,vc=1.0,4915.0,True,0.0
23,1,4,baseline,5723.0,True,0.0
23,1,4,vc=0.25,5416.0,True,-307.0
23,1,4,vc=0.5,5416.0,True,-307.0
23,1,4,vc=1.0,5416.0,True,-307.0
23,2,15,baseline,4200.0,True,0.0
23,2,15,vc=0.25,4354.0,True,154.0
23,2,15,vc=0.5,4354.0,True,154.0
23,2,15,vc=1.0,4359.0,True,159.0
24,0,12,baseline,4936.0,True,0.0
24,0,12,vc=0.25,4936.0,True,0.0
24,0,12,vc=0.5,4936.0,True,0.0
24,0,12,vc=1.0,4936.0,True,0.0
24,1,29,baseline,4144.0,True,0.0
24,1,29,vc=0.25,4144.0,True,0.0
24,1,29,vc=0.5,4177.0,True,33.0
24,1,29,vc=1.0,4178.0,True,34.0
24,2,19,baseline,5406.0,True,0.0
24,2,19,vc=0.25,5406.0,True,0.0
24,2,19,vc=0.5,5406.0,True,0.0
24,2,19,vc=1.0,5406.0,True,0.0
25,0,15,baseline,1484.0,True,0.0
25,0,15,vc=0.25,1484.0,True,0.0
25,0,15,vc=0.5,1484.0,True,0.0
25,0,15,vc=1.0,1484.0,True,0.0
25,1,22,baseline,1900.0,True,0.0
25,1,22,vc=0.25,1900.0,True,0.0
25,1,22,vc=0.5,1900.0,True,0.0
25,1,22,vc=1.0,1900.0,True,0.0
25,2,2,baseline,1687.0,True,0.0
25,2,2,vc=0.25,1687.0,True,0.0
25,2,2,vc=0.5,1687.0,True,0.0
25,2,2,vc=1.0,1687.0,True,0.0
26,0,15,baseline,4131.0,True,0.0
26,0,15,vc=0.25,4573.0,True,442.0
26,0,15,vc=0.5,4002.0,True,-129.0
26,0,15,vc=1.0,4002.0,True,-129.0
26,1,2,baseline,3533.0,True,0.0
26,1,2,vc=0.25,3533.0,True,0.0
26,1,2,vc=0.5,3738.0,True,205.0
26,1,2,vc=1.0,3588.0,True,55.0
26,2,16,baseline,3665.0,True,0.0
26,2,16,vc=0.25,3584.0,True,-81.0
26,2,16,vc=0.5,3584.0,True,-81.0
26,2,16,vc=1.0,3584.0,True,-81.0
27,0,0,baseline,4092.0,True,0.0
27,0,0,vc=0.25,4092.0,True,0.0
27,0,0,vc=0.5,4885.0,True,793.0
27,0,0,vc=1.0,4885.0,True,793.0
27,1,8,baseline,3735.0,True,0.0
27,1,8,vc=0.25,3735.0,True,0.0
27,1,8,vc=0.5,3735.0,True,0.0
