start_node,rep,strategy,reward,ls_exact_reward,gap_pct,valid,rollout_time
7,2,sample256,2378.0,3577.0,33.519709253564436,True,0.048797607421875
8,0,greedy_beam1,5207.0,5207.0,0.0,True,0.03397059440612793
8,0,beam10,4539.0,5207.0,12.828884194353755,True,0.1511399745941162
8,0,beam20,4539.0,5207.0,12.828884194353755,True,0.33038330078125
8,0,sample128,4389.0,5207.0,15.709621663145764,True,0.04198884963989258
8,0,sample256,4389.0,5207.0,15.709621663145764,True,0.060533761978149414
8,1,greedy_beam1,1351.0,4303.0,68.6033000232396,True,0.011483430862426758
8,1,beam10,3081.0,4303.0,28.3987915407855,True,0.17534136772155762
8,1,beam20,3228.0,4303.0,24.982570299790844,True,0.32907581329345703
8,1,sample128,3277.0,4303.0,23.84382988612596,True,0.04875040054321289
8,1,sample256,3726.0,4303.0,13.409249360910994,True,0.07200312614440918
8,2,greedy_beam1,4982.0,6563.0,24.089593173853423,True,0.033142805099487305
8,2,beam10,6300.0,6563.0,4.00731372847783,True,0.17733240127563477
8,2,beam20,6300.0,6563.0,4.00731372847783,True,0.35719943046569824
8,2,sample128,5971.0,6563.0,9.020265122657321,True,0.040622711181640625
8,2,sample256,5971.0,6563.0,9.020265122657321,True,0.06012392044067383
9,0,greedy_beam1,905.0,1145.0,20.96069868995633,True,0.02142930030822754
9,0,beam10,941.0,1145.0,17.81659388646288,True,0.1832871437072754
9,0,beam20,1007.0,1145.0,12.05240174672489,True,0.35335755348205566
9,0,sample128,941.0,1145.0,17.81659388646288,True,0.03294515609741211
9,0,sample256,1145.0,1145.0,0.0,True,0.048520803451538086
9,1,greedy_beam1,298.0,2608.0,88.57361963190185,True,0.017658710479736328
9,1,beam10,2608.0,2608.0,0.0,True,0.18204855918884277
9,1,beam20,2608.0,2608.0,0.0,True,0.3301713466644287
9,1,sample128,1925.0,2608.0,26.188650306748468,True,0.03310441970825195
9,1,sample256,1925.0,2608.0,26.188650306748468,True,0.04881882667541504
9,2,greedy_beam1,69.0,1821.0,96.21087314662273,True,0.015784740447998047
9,2,beam10,1821.0,1821.0,0.0,True,0.16149592399597168
9,2,beam20,1821.0,1821.0,0.0,True,0.2687373161315918
9,2,sample128,1486.0,1821.0,18.396485447556287,True,0.025275707244873047
9,2,sample256,1486.0,1821.0,18.396485447556287,True,0.03717637062072754
10,0,greedy_beam1,3470.0,6402.0,45.7981880662293,True,0.017167329788208008
10,0,beam10,6402.0,6402.0,0.0,True,0.08791017532348633
10,0,beam20,6402.0,6402.0,0.0,True,0.1314678192138672
10,0,sample128,6402.0,6402.0,0.0,True,0.025185823440551758
10,0,sample256,6402.0,6402.0,0.0,True,0.03757786750793457
10,1,greedy_beam1,838.0,2880.0,70.90277777777779,True,0.016269207000732422
10,1,beam10,2880.0,2880.0,0.0,True,0.10385680198669434
10,1,beam20,2880.0,2880.0,0.0,True,0.13388943672180176
10,1,sample128,2437.0,2880.0,15.381944444444445,True,0.025355815887451172
10,1,sample256,1352.0,2880.0,53.05555555555556,True,0.037163734436035156
10,2,greedy_beam1,386.0,2842.0,86.41801548205488,True,0.010196685791015625
10,2,beam10,2842.0,2842.0,0.0,True,0.12149453163146973
10,2,beam20,2842.0,2842.0,0.0,True,0.13412117958068848
10,2,sample128,2842.0,2842.0,0.0,True,0.037047624588012695
10,2,sample256,2842.0,2842.0,0.0,True,0.0487675666809082
11,0,greedy_beam1,2588.0,5623.0,53.97474657656055,True,0.017290830612182617
11,0,beam10,4462.0,5623.0,20.647341276898455,True,0.1968979835510254
11,0,beam20,4663.0,5623.0,17.072736973146007,True,0.3863506317138672
11,0,sample128,4676.0,5623.0,16.84154365996799,True,0.05041241645812988
11,0,sample256,4676.0,5623.0,16.84154365996799,True,0.07420229911804199
11,1,greedy_beam1,3353.0,6198.0,45.901903839948375,True,0.02748703956604004
11,1,beam10,4555.0,6198.0,26.508551145530816,True,0.1952519416809082
11,1,beam20,4555.0,6198.0,26.508551145530816,True,0.3617897033691406
11,1,sample128,4165.0,6198.0,32.800903517263635,True,0.04089975357055664
11,1,sample256,4736.0,6198.0,23.588254275572766,True,0.07245254516601562
11,2,greedy_beam1,1417.0,5843.0,75.74875919904159,True,0.01186227798461914
11,2,beam10,4672.0,5843.0,20.041074790347423,True,0.23152399063110352
11,2,beam20,4672.0,5843.0,20.041074790347423,True,0.3847057819366455
11,2,sample128,4773.0,5843.0,18.312510696559986,True,0.04875063896179199
11,2,sample256,4621.0,5843.0,20.91391408523019,True,0.07299685478210449
12,0,greedy_beam1,2583.0,6230.0,58.539325842696634,True,0.017127513885498047
12,0,beam10,5449.0,6230.0,12.536115569823437,True,0.20676040649414062
12,0,beam20,5449.0,6230.0,12.536115569823437,True,0.41973185539245605
12,0,sample128,5569.0,6230.0,10.609951845906902,True,0.0493011474609375
12,0,sample256,5351.0,6230.0,14.109149277688605,True,0.07233381271362305
12,1,greedy_beam1,3063.0,5918.0,48.242649543764784,True,0.022991657257080078
12,1,beam10,4053.0,5918.0,31.514025008448797,True,0.18767356872558594
12,1,beam20,4881.0,5918.0,17.522811760729976,True,0.3974905014038086
12,1,sample128,4939.0,5918.0,16.54275092936803,True,0.04967927932739258
12,1,sample256,4975.0,5918.0,15.934437309901995,True,0.07260274887084961
12,2,greedy_beam1,1540.0,5763.0,73.27780669790039,True,0.011451244354248047
12,2,beam10,4454.0,5763.0,22.71386430678466,True,0.18906331062316895
12,2,beam20,4454.0,5763.0,22.71386430678466,True,0.45774078369140625
12,2,sample128,4534.0,5763.0,21.325698420961306,True,0.04215121269226074
