0.022,0.022,0.022,0.015,0.022,0.023,0.023,0.007,0.007,0.007,0.0,0.007,0.007,0.015,0.022,0.022,0.007,0.022,0.007,0.027,0.015,0.007,0.007,0.015,0.007,0.021,0.023,0.024,0.024,0.023,0.015,0.023,0.024,0.024,0.007,0.024,0.024,0.023,0.024,0.023,0.024,0.023,0.007,0.0,0.022,0.022,0.015,0.007,0.022,0.022,0.022,0.022,0.025,0.015,0.015,0.015,0.024
0.019,0.02,0.012,0.019,0.019,0.019,0.023,0.02,0.012,0.006,0.02,0.0,0.02,0.006,0.019,0.019,0.018,0.023,0.019,0.019,0.012,0.006,0.006,0.012,0.006,0.019,0.019,0.024,0.02,0.019,0.012,0.019,0.02,0.02,0.022,0.023,0.02,0.019,0.02,0.019,0.02,0.022,0.022,0.012,0.02,0.02,0.02,0.012,0.02,0.019,0.02,0.02,0.021,0.02,0.012,0.02,0.02
0.022,0.022,0.022,0.014,0.022,0.015,0.015,0.007,0.015,0.007,0.007,0.007,0.0,0.007,0.022,0.023,0.022,0.022,0.022,0.023,0.015,0.007,0.007,0.015,0.007,0.023,0.015,0.024,0.024,0.023,0.022,0.023,0.024,0.023,0.007,0.023,0.023,0.023,0.024,0.023,0.024,0.023,0.007,0.0,0.022,0.022,0.015,0.0,0.022,0.022,0.022,0.022,0.025,0.022,0.015,0.014,0.018
0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.001,0.0,0.043,0.033,0.021,0.008,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.007,0.021,0.008,0.021,0.021,0.021,0.021,0.021,0.001,0.001,0.001,0.001,0.021,0.021,0.021,0.021,0.043,0.021,0.021,0.007,0.008,0.021,0.001,0.036,0.021,0.008,0.007,0.021,0.001,0.001,0.001,0.021
0.005,0.006,0.006,0.005,0.006,0.005,0.007,0.006,0.007,0.006,0.007,0.006,0.007,0.034,0.0,0.017,0.017,0.017,0.017,0.034,0.034,0.034,0.034,0.034,0.034,0.007,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.011,0.017,0.017,0.017,0.017,0.027,0.034,0.033,0.006,0.04,0.017,0.017,0.017,0.017,0.031,0.017,0.017,0.006,0.034,0.017,0.017,0.017,0.007
0.005,0.005,0.005,0.005,0.005,0.005,0.008,0.006,0.008,0.006,0.008,0.006,0.008,0.03,0.036,0.0,0.018,0.007,0.018,0.018,0.018,0.036,0.036,0.018,0.018,0.006,0.018,0.007,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.055,0.036,0.036,0.018,0.018,0.008,0.029,0.033,0.018,0.018,0.006,0.033,0.018,0.018,0.018,0.008
0.009,0.009,0.009,0.014,0.009,0.019,0.025,0.009,0.009,0.009,0.018,0.009,0.029,0.009,0.019,0.019,0.0,0.025,0.009,0.009,0.009,0.009,0.01,0.009,0.009,0.009,0.019,0.016,0.03,0.009,0.009,0.029,0.031,0.019,0.009,0.028,0.025,0.019,0.031,0.019,0.03,0.034,0.019,0.01,0.009,0.009,0.025,0.009,0.029,0.029,0.031,0.03,0.029,0.009,0.009,0.024,0.029
0.029,0.029,0.029,0.019,0.025,0.029,0.017,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.028,0.028,0.009,0.0,0.009,0.009,0.009,0.019,0.019,0.009,0.009,0.009,0.018,0.009,0.018,0.009,0.009,0.029,0.028,0.028,0.009,0.009,0.009,0.009,0.028,0.028,0.029,0.028,0.009,0.009,0.009,0.028,0.028,0.009,0.018,0.024,0.03,0.03,0.028,0.028,0.009,0.018,0.016
0.019,0.018,0.009,0.009,0.009,0.018,0.019,0.01,0.018,0.01,0.009,0.01,0.03,0.01,0.03,0.02,0.009,0.009,0.0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.017,0.004,0.02,0.01,0.009,0.019,0.03,0.009,0.01,0.019,0.015,0.02,0.031,0.025,0.02,0.035,0.02,0.01,0.01,0.029,0.03,0.01,0.029,0.027,0.031,0.031,0.033,0.029,0.01,0.027,0.027
0.021,0.037,0.031,0.012,0.012,0.034,0.012,0.004,0.004,0.004,0.024,0.005,0.012,0.012,0.025,0.025,0.012,0.012,0.012,0.0,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.034,0.012,0.012,0.012,0.046,0.037,0.032,0.012,0.012,0.012,0.025,0.037,0.025,0.047,0.025,0.012,0.012,0.022,0.012,0.012,0.001,0.012,0.037,0.012,0.012,0.035,0.001,0.012,0.012,0.012
0.024,0.04,0.037,0.014,0.014,0.044,0.014,0.014,0.005,0.006,0.014,0.006,0.014,0.014,0.029,0.029,0.014,0.014,0.014,0.009,0.0,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.021,0.044,0.014,0.014,0.014,0.014,0.014,0.038,0.029,0.035,0.029,0.014,0.014,0.024,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.001,0.014,0.014,0.014
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.02,0.001,0.001,0.001,0.001,0.001,0.0,0.02,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.001,0.02,0.02,0.001,0.001,0.021,0.001,0.02,0.02,0.02,0.02,0.02,0.008,0.02,0.02,0.059,0.001,0.021,0.021,0.021,0.021,0.02,0.021,0.02,0.02,0.02
